lat,lon,pop,geoid,name,state
32.532237,-86.64644,58805,01001,Autauga County,AL
30.659218,-87.746067,231767,01003,Baldwin County,AL
31.870253,-85.405104,25223,01005,Barbour County,AL
33.015893,-87.127148,22293,01007,Bibb County,AL
33.977358,-86.56644,59134,01009,Blount County,AL
32.101759,-85.717261,10357,01011,Bullock County,AL
31.751667,-86.681969,19051,01013,Butler County,AL
33.770516,-85.827909,116441,01015,Calhoun County,AL
32.915504,-85.394032,34772,01017,Chambers County,AL
34.069515,-85.654242,24971,01019,Cherokee County,AL
32.854051,-86.726607,45014,01021,Chilton County,AL
31.990954,-88.248889,12665,01023,Choctaw County,AL
31.685521,-87.818624,23087,01025,Clarke County,AL
33.2704,-85.863525,14236,01027,Clay County,AL
33.671964,-85.516126,15056,01029,Cleburne County,AL
31.402258,-85.989602,53465,01031,Coffee County,AL
34.703112,-87.801457,57227,01033,Colbert County,AL
31.430926,-86.988722,11597,01035,Conecuh County,AL
32.931445,-86.243482,10387,01037,Coosa County,AL
31.243987,-86.448721,37570,01039,Covington County,AL
31.730311,-86.320038,13194,01041,Crenshaw County,AL
34.131923,-86.869267,87866,01043,Cullman County,AL
31.430654,-85.609476,49326,01045,Dale County,AL
32.333526,-87.11436,38462,01047,Dallas County,AL
34.460915,-85.804021,71608,01049,DeKalb County,AL
32.597229,-86.142735,87977,01051,Elmore County,AL
31.122287,-87.16841,36757,01053,Escambia County,AL
34.047641,-86.034263,103436,01055,Etowah County,AL
33.716157,-87.764292,16321,01057,Fayette County,AL
34.441989,-87.842814,32113,01059,Franklin County,AL
31.092382,-85.821022,26659,01061,Geneva County,AL
32.844497,-87.9642,7730,01063,Greene County,AL
32.752796,-87.623061,14785,01065,Hale County,AL
31.516978,-85.239971,17146,01067,Henry County,AL
31.158183,-85.296411,107202,01069,Houston County,AL
34.764114,-85.980056,52579,01071,Jackson County,AL
33.553444,-86.896536,674721,01073,Jefferson County,AL
33.787085,-88.087431,13972,01075,Lamar County,AL
34.904122,-87.650997,93564,01077,Lauderdale County,AL
34.529776,-87.321865,33073,01079,Lawrence County,AL
32.604064,-85.353048,174241,01081,Lee County,AL
34.810239,-86.981399,103570,01083,Limestone County,AL
32.147888,-86.650586,10311,01085,Lowndes County,AL
32.387027,-85.692887,19532,01087,Macon County,AL
34.764238,-86.55108,388153,01089,Madison County,AL
32.247591,-87.791091,19323,01091,Marengo County,AL
34.138219,-87.881551,29341,01093,Marion County,AL
34.309564,-86.321668,97612,01095,Marshall County,AL
30.684572,-88.196568,414809,01097,Mobile County,AL
31.580332,-87.383266,19772,01099,Monroe County,AL
32.202881,-86.204461,228954,01101,Montgomery County,AL
34.454484,-86.846402,123421,01103,Morgan County,AL
32.639005,-87.293827,8511,01105,Perry County,AL
33.2968,-88.096864,19123,01107,Pickens County,AL
31.798653,-85.941608,33009,01109,Pike County,AL
33.296461,-85.464064,21967,01111,Randolph County,AL
32.289811,-85.18698,59183,01113,Russell County,AL
33.719491,-86.311327,91103,01115,St. Clair County,AL
33.263043,-86.678089,223024,01117,Shelby County,AL
32.597481,-88.200057,12345,01119,Sumter County,AL
33.369314,-86.17593,82149,01121,Talladega County,AL
32.863308,-85.799618,41311,01123,Tallapoosa County,AL
33.29022,-87.522783,227036,01125,Tuscaloosa County,AL
33.791558,-87.301094,65342,01127,Walker County,AL
31.408503,-88.212404,15388,01129,Washington County,AL
31.990082,-87.304935,10600,01131,Wilcox County,AL
34.154566,-87.365346,23540,01133,Winston County,AL
35.385084,-109.490172,66021,04001,Apache County,AZ
31.840129,-109.775163,125447,04003,Cochise County,AZ
35.829692,-111.773728,145101,04005,Coconino County,AZ
33.789618,-110.81187,53272,04007,Gila County,AZ
32.931828,-109.87831,38533,04009,Graham County,AZ
33.238872,-109.242323,9563,04011,Greenlee County,AZ
33.72761,-114.038806,16557,04012,La Paz County,AZ
33.345176,-112.49893,4420568,04013,Maricopa County,AZ
35.717705,-113.749689,213267,04015,Mohave County,AZ
35.390785,-110.321025,106717,04017,Navajo County,AZ
32.128038,-111.783657,1043433,04019,Pima County,AZ
32.918521,-111.36634,425264,04021,Pinal County,AZ
31.525733,-110.845228,47669,04023,Santa Cruz County,AZ
34.631071,-112.577225,236209,04025,Yavapai County,AZ
32.773942,-113.910905,203881,04027,Yuma County,AZ
34.28957,-91.376547,17149,05001,Arkansas County,AR
33.190835,-91.772267,19062,05003,Ashley County,AR
36.280268,-92.329949,41627,05005,Baxter County,AR
36.337819,-94.256298,284333,05007,Benton County,AR
36.304299,-93.079236,37373,05009,Boone County,AR
33.466549,-92.169156,10545,05011,Bradley County,AR
33.56046,-92.513879,4739,05013,Calhoun County,AR
36.33737,-93.540972,28260,05015,Carroll County,AR
33.267139,-91.297158,10208,05017,Chicot County,AR
34.053316,-93.176208,21446,05019,Clark County,AR
36.367302,-90.418704,14552,05021,Clay County,AR
35.566315,-92.05995,24711,05023,Cleburne County,AR
33.893201,-92.188714,7550,05025,Cleveland County,AR
33.223038,-93.232843,22801,05027,Columbia County,AR
35.265702,-92.689248,20715,05029,Conway County,AR
35.827729,-90.631421,111231,05031,Craighead County,AR
35.583011,-94.236219,60133,05033,Crawford County,AR
35.197559,-90.30512,48163,05035,Crittenden County,AR
35.285692,-90.763984,16833,05037,Cross County,AR
33.967823,-92.653999,6482,05039,Dallas County,AR
33.828752,-91.244103,11395,05041,Desha County,AR
33.587242,-91.722778,17350,05043,Drew County,AR
35.146548,-92.336928,123498,05045,Faulkner County,AR
35.508558,-93.887665,17097,05047,Franklin County,AR
36.381322,-91.819285,12075,05049,Fulton County,AR
34.578852,-93.146932,100180,05051,Garland County,AR
34.285568,-92.422979,17958,05053,Grant County,AR
36.120607,-90.566346,45736,05055,Greene County,AR
33.735953,-93.664355,20065,05057,Hempstead County,AR
34.315177,-92.944147,33040,05059,Hot Spring County,AR
34.083064,-93.990931,12785,05061,Howard County,AR
35.737499,-91.559942,37938,05063,Independence County,AR
36.094879,-91.913625,13577,05065,Izard County,AR
35.596467,-91.223205,16755,05067,Jackson County,AR
34.277239,-91.929673,67260,05069,Jefferson County,AR
35.573359,-93.466322,25749,05071,Johnson County,AR
33.240629,-93.611514,6308,05073,Lafayette County,AR
36.041098,-91.101153,16216,05075,Lawrence County,AR
34.779505,-90.779717,8600,05077,Lee County,AR
33.956385,-91.742355,12941,05079,Lincoln County,AR
33.701941,-94.236287,12026,05081,Little River County,AR
35.218654,-93.72091,21131,05083,Logan County,AR
34.755114,-91.894132,74015,05085,Lonoke County,AR
36.012545,-93.724053,16521,05087,Madison County,AR
36.266664,-92.678577,16826,05089,Marion County,AR
33.305505,-93.901502,42600,05091,Miller County,AR
35.766944,-90.052207,40685,05093,Mississippi County,AR
34.679512,-91.20331,6799,05095,Monroe County,AR
34.545656,-93.664153,8484,05097,Montgomery County,AR
33.666699,-93.305072,8310,05099,Nevada County,AR
35.910742,-93.215898,7225,05101,Newton County,AR
33.591168,-92.878413,22650,05103,Ouachita County,AR
34.946363,-92.926877,10019,05105,Perry County,AR
34.423687,-90.855593,16568,05107,Phillips County,AR
34.158191,-93.658659,10171,05109,Pike County,AR
35.56887,-90.681104,22965,05111,Poinsett County,AR
34.490915,-94.230884,19221,05113,Polk County,AR
35.456557,-93.026818,63381,05115,Pope County,AR
34.831116,-91.55362,8282,05117,Prairie County,AR
34.770311,-92.312996,399125,05119,Pulaski County,AR
36.341298,-91.028441,18571,05121,Randolph County,AR
35.022838,-90.751506,23090,05123,St. Francis County,AR
34.648525,-92.674463,123416,05125,Saline County,AR
34.858869,-94.063641,9836,05127,Scott County,AR
35.896387,-92.695888,7828,05129,Searcy County,AR
35.196981,-94.274989,127799,05131,Sebastian County,AR
33.994877,-94.243279,15839,05133,Sevier County,AR
36.173399,-91.471069,17271,05135,Sharp County,AR
35.857001,-92.140482,12359,05137,Stone County,AR
33.168219,-92.598145,39054,05139,Union County,AR
35.582953,-92.515976,15796,05141,Van Buren County,AR
35.978001,-94.217269,245871,05143,Washington County,AR
35.255118,-91.753034,76822,05145,White County,AR
35.192777,-91.244535,6269,05147,Woodruff County,AR
34.997713,-93.408303,20263,05149,Yell County,AR
37.647139,-121.912488,1682353,06001,Alameda County,CA
38.621783,-119.798352,1204,06003,Alpine County,CA
38.443549,-120.653858,40474,06005,Amador County,CA
39.665336,-121.603209,211632,06007,Butte County,CA
38.191068,-120.554107,45292,06009,Calaveras County,CA
39.177739,-122.237563,21839,06011,Colusa County,CA
37.919479,-121.951543,1165927,06013,Contra Costa County,CA
41.749903,-123.980998,27743,06015,Del Norte County,CA
38.785612,-120.534225,191185,06017,El Dorado County,CA
36.761006,-119.655019,1008654,06019,Fresno County,CA
39.602546,-122.4017,28917,06021,Glenn County,CA
40.706655,-123.926176,136463,06023,Humboldt County,CA
33.040814,-115.3554,179702,06025,Imperial County,CA
36.56216,-117.404209,19016,06027,Inyo County,CA
35.346629,-118.729506,909235,06029,Kern County,CA
36.072478,-119.81553,152486,06031,Kings County,CA
39.094802,-122.746757,68163,06033,Lake County,CA
40.715287,-120.621223,32730,06035,Lassen County,CA
34.196398,-118.261862,10014009,06037,Los Angeles County,CA
37.209821,-119.749802,156255,06039,Madera County,CA
38.051367,-122.746396,262321,06041,Marin County,CA
37.574343,-119.911721,17131,06043,Mariposa County,CA
39.432388,-123.442881,91601,06045,Mendocino County,CA
37.194806,-120.722802,281202,06047,Merced County,CA
41.592918,-120.71837,8700,06049,Modoc County,CA
37.915836,-118.875167,13195,06051,Mono County,CA
36.240104,-121.315578,439035,06053,Monterey County,CA
38.5071,-122.325904,138019,06055,Napa County,CA
39.297508,-120.771343,102241,06057,Nevada County,CA
33.675687,-117.777207,3186989,06059,Orange County,CA
39.062032,-120.722718,404739,06061,Placer County,CA
39.992295,-120.824371,19790,06063,Plumas County,CA
33.729828,-116.002239,2418185,06065,Riverside County,CA
38.450136,-121.344329,1585055,06067,Sacramento County,CA
36.611651,-121.085811,64209,06069,San Benito County,CA
34.856661,-116.181571,2181654,06071,San Bernardino County,CA
33.023604,-116.776117,3298634,06073,San Diego County,CA
37.727239,-123.032229,873965,06075,San Francisco County,CA
37.934982,-121.272244,779233,06077,San Joaquin County,CA
35.388189,-120.448897,282424,06079,San Luis Obispo County,CA
37.414672,-122.371546,764442,06081,San Mateo County,CA
34.536677,-120.038364,448229,06083,Santa Barbara County,CA
37.221614,-121.68954,1936259,06085,Santa Clara County,CA
37.012347,-122.007789,270861,06087,Santa Cruz County,CA
40.760514,-122.043556,182155,06089,Shasta County,CA
39.576925,-120.521993,3236,06091,Sierra County,CA
41.587986,-122.533287,44076,06093,Siskiyou County,CA
38.267226,-121.939594,453491,06095,Solano County,CA
38.525182,-122.92611,488863,06097,Sonoma County,CA
37.562316,-121.002831,552878,06099,Stanislaus County,CA
39.03619,-121.70394,99633,06101,Sutter County,CA
40.126157,-122.232274,65829,06103,Tehama County,CA
40.647858,-123.114666,16112,06105,Trinity County,CA
36.228834,-118.781055,473117,06107,Tulare County,CA
38.021434,-119.964733,55620,06109,Tuolumne County,CA
34.358748,-119.133145,843843,06111,Ventura County,CA
38.679609,-121.90275,216403,06113,Yolo County,CA
39.27013,-121.344259,81575,06115,Yuba County,CA
39.874325,-104.331872,519572,08001,Adams County,CO
37.568442,-105.788041,16376,08003,Alamosa County,CO
39.644554,-104.331706,655070,08005,Arapahoe County,CO
37.202395,-107.050863,13359,08007,Archuleta County,CO
37.30978,-102.543741,3506,08009,Baca County,CO
37.931891,-103.077584,5650,08011,Bent County,CO
40.094962,-105.397704,330758,08013,Boulder County,CO
39.953593,-105.050787,74112,08014,Broomfield County,CO
38.734599,-106.300025,19476,08015,Chaffee County,CO
38.835646,-102.601791,1748,08017,Cheyenne County,CO
39.689403,-105.670783,9397,08019,Clear Creek County,CO
37.213406,-106.176447,7461,08021,Conejos County,CO
37.277547,-105.42894,3499,08023,Costilla County,CO
38.30618,-103.772736,5922,08025,Crowley County,CO
38.101996,-105.373512,4704,08027,Custer County,CO
38.861595,-107.864892,31196,08029,Delta County,CO
39.76185,-104.881105,715522,08031,Denver County,CO
37.733823,-108.506219,2326,08033,Dolores County,CO
39.325414,-104.925987,357978,08035,Douglas County,CO
39.626992,-106.695169,55731,08037,Eagle County,CO
39.315157,-104.114076,26062,08039,Elbert County,CO
38.827383,-104.527472,730395,08041,El Paso County,CO
38.45517,-105.424958,48939,08043,Fremont County,CO
39.599352,-107.90978,61685,08045,Garfield County,CO
39.861156,-105.528878,5808,08047,Gilpin County,CO
40.113065,-106.110837,15717,08049,Grand County,CO
38.670499,-107.05688,16918,08051,Gunnison County,CO
37.811519,-107.383974,788,08053,Hinsdale County,CO
37.687815,-104.959928,6820,08055,Huerfano County,CO
40.663432,-106.329248,1379,08057,Jackson County,CO
39.579511,-105.245462,582910,08059,Jefferson County,CO
38.387663,-102.756849,1446,08061,Kiowa County,CO
39.30534,-102.603023,7087,08063,Kit Carson County,CO
39.205341,-106.350079,7436,08065,Lake County,CO
37.287367,-107.839718,55638,08067,La Plata County,CO
40.658093,-105.486764,359066,08069,Larimer County,CO
37.318831,-104.04411,14555,08071,Las Animas County,CO
38.99374,-103.507555,5675,08073,Lincoln County,CO
40.728091,-103.090464,21528,08075,Logan County,CO
39.019524,-108.460571,155703,08077,Mesa County,CO
37.549067,-107.003236,865,08079,Mineral County,CO
40.610864,-108.217154,13292,08081,Moffat County,CO
37.338025,-108.595786,25849,08083,Montezuma County,CO
38.407507,-108.266282,42679,08085,Montrose County,CO
40.263159,-103.81221,29111,08087,Morgan County,CO
37.88417,-103.72126,18690,08089,Otero County,CO
38.154731,-107.78848,4874,08091,Ouray County,CO
39.118914,-105.717648,17390,08093,Park County,CO
40.594712,-102.345105,4530,08095,Phillips County,CO
39.217541,-106.916162,17358,08097,Pitkin County,CO
37.958181,-102.392161,11999,08099,Prowers County,CO
38.162765,-104.484668,168162,08101,Pueblo County,CO
39.972622,-108.200716,6529,08103,Rio Blanco County,CO
37.485853,-106.453128,11539,08105,Rio Grande County,CO
40.483664,-106.987702,24829,08107,Routt County,CO
38.031651,-106.234666,6368,08109,Saguache County,CO
37.781049,-107.670257,705,08111,San Juan County,CO
38.009319,-108.427263,8072,08113,San Miguel County,CO
40.871568,-102.355358,2404,08115,Sedgwick County,CO
39.621023,-106.137555,31055,08117,Summit County,CO
38.869976,-105.187365,24710,08119,Teller County,CO
39.96579,-103.209744,4817,08121,Washington County,CO
40.555961,-104.383666,328981,08123,Weld County,CO
40.00077,-102.421649,9988,08125,Yuma County,CO
41.227413,-73.367061,957419,09001,Fairfield County,CT
41.806053,-72.732916,899498,09003,Hartford County,CT
41.791883,-73.235404,185186,09005,Litchfield County,CT
41.433003,-72.52278,164245,09007,Middlesex County,CT
41.349718,-72.900203,864835,09009,New Haven County,CT
41.472652,-72.108634,268555,09011,New London County,CT
41.858081,-72.340978,149788,09013,Tolland County,CT
41.824999,-71.990702,116418,09015,Windham County,CT
39.097088,-75.502982,181851,10001,Kent County,DE
39.575915,-75.644132,570719,10003,New Castle County,DE
38.673227,-75.337024,237378,10005,Sussex County,DE
38.904247,-77.016517,689545,11001,District of Columbia,DC
29.67574,-82.357221,278468,12001,Alachua County,FL
30.324442,-82.302284,28259,12003,Baker County,FL
30.15914,-85.534395,175216,12005,Bay County,FL
29.952386,-82.166698,28303,12007,Bradford County,FL
28.298311,-80.700333,606612,12009,Brevard County,FL
26.193535,-80.476683,1944375,12011,Broward County,FL
30.388801,-85.197915,13648,12013,Calhoun County,FL
26.906396,-82.003657,186847,12015,Charlotte County,FL
28.850292,-82.595552,153843,12017,Citrus County,FL
29.986584,-81.865036,218245,12019,Clay County,FL
26.118786,-81.400955,375752,12021,Collier County,FL
30.221651,-82.623371,69698,12023,Columbia County,FL
27.190581,-81.806253,33976,12027,DeSoto County,FL
29.552675,-83.236232,16759,12029,Dixie County,FL
30.335245,-81.648113,995567,12031,Duval County,FL
30.529998,-87.320322,321905,12033,Escambia County,FL
29.474891,-81.286253,115378,12035,Flagler County,FL
29.677794,-84.815213,12451,12037,Franklin County,FL
30.578687,-84.612607,43826,12039,Gadsden County,FL
29.723456,-82.795801,17864,12041,Gilchrist County,FL
26.95481,-81.19082,12126,12043,Glades County,FL
29.859238,-85.272013,14192,12045,Gulf County,FL
30.491187,-82.951071,14004,12047,Hamilton County,FL
27.492846,-81.82158,25327,12049,Hardee County,FL
26.539967,-81.152114,39619,12051,Hendry County,FL
28.555995,-82.525969,194515,12053,Hernando County,FL
27.34108,-81.342353,101235,12055,Highlands County,FL
27.88761,-82.374417,1459762,12057,Hillsborough County,FL
30.862007,-85.815939,19653,12059,Holmes County,FL
27.700528,-80.574789,159788,12061,Indian River County,FL
30.789249,-85.208814,47319,12063,Jackson County,FL
30.396898,-83.921761,14510,12065,Jefferson County,FL
29.990066,-83.17851,8226,12067,Lafayette County,FL
28.764113,-81.712282,383956,12069,Lake County,FL
26.563273,-81.984182,760822,12071,Lee County,FL
30.45931,-84.2778,292198,12073,Leon County,FL
29.271854,-82.831233,42915,12075,Levy County,FL
30.259849,-84.86858,7974,12077,Liberty County,FL
30.447233,-83.470416,17968,12079,Madison County,FL
27.475556,-82.393144,399710,12081,Manatee County,FL
29.202805,-82.0431,375908,12083,Marion County,FL
27.083604,-80.398201,158431,12085,Martin County,FL
25.616009,-80.50375,2701767,12086,Miami-Dade County,FL
25.58612,-81.022603,82874,12087,Monroe County,FL
30.605963,-81.765087,90352,12089,Nassau County,FL
30.614325,-86.59108,211668,12091,Okaloosa County,FL
27.385592,-80.887388,39644,12093,Okeechobee County,FL
28.514391,-81.323284,1429908,12095,Orange County,FL
28.059027,-81.139312,388656,12097,Osceola County,FL
26.649126,-80.448354,1492191,12099,Palm Beach County,FL
28.309823,-82.511006,561891,12101,Pasco County,FL
27.905342,-82.798066,959107,12103,Pinellas County,FL
27.953649,-81.693534,725046,12105,Polk County,FL
29.593896,-81.732039,73321,12107,Putnam County,FL
29.890487,-81.40004,273425,12109,St. Johns County,FL
27.379814,-80.443536,329226,12111,St. Lucie County,FL
30.675348,-87.018919,188000,12113,Santa Rosa County,FL
27.225327,-82.423714,434006,12115,Sarasota County,FL
28.690065,-81.131975,470856,12117,Seminole County,FL
28.715444,-82.069952,129752,12119,Sumter County,FL
30.189244,-82.992754,43474,12121,Suwannee County,FL
29.967146,-83.639573,21796,12123,Taylor County,FL
30.05428,-82.366918,16147,12125,Union County,FL
29.057769,-81.161792,553543,12127,Volusia County,FL
30.091335,-84.359111,33764,12129,Wakulla County,FL
30.571247,-86.162798,75305,12131,Walton County,FL
30.602102,-85.655805,25318,12133,Washington County,FL
31.739712,-82.290103,18444,13001,Appling County,GA
31.296806,-82.878151,8286,13003,Atkinson County,GA
31.55021,-82.451433,11140,13005,Bacon County,GA
31.31958,-84.454881,2876,13007,Baker County,GA
33.05949,-83.255457,43799,13009,Baldwin County,GA
34.351922,-83.498441,18035,13011,Banks County,GA
33.992009,-83.712303,83505,13013,Barrow County,GA
34.240917,-84.838188,108901,13015,Bartow County,GA
31.740772,-83.147197,17194,13017,Ben Hill County,GA
31.288652,-83.22787,18160,13019,Berrien County,GA
32.808845,-83.694194,157346,13021,Bibb County,GA
32.435403,-83.331717,12583,13023,Bleckley County,GA
31.197334,-81.982978,18021,13025,Brantley County,GA
30.822934,-83.581905,16301,13027,Brooks County,GA
32.017969,-81.438543,44738,13029,Bryan County,GA
